device,pop_n,m,rep,step,recorded,established,conn_idx,ms_to_establish,in_flight,peripheral_links,total_links,ms_to_session,ms_to_converged
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,2,1,1,N=2 M=1 t1,0,0,0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,1,1,N=3 M=1 t1,0,0,0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,2,1,N=3 M=2 t1,0,0,0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,1,1,N=4 M=1 t1,0,0,0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,2,1,N=4 M=2 t1,0,0,0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,3,1,N=4 M=3 t1,0,0,0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,1,1,N=5 M=1 t1,0,0,0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,2,1,N=5 M=2 t1,0,0,0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,3,1,N=5 M=3 t1,0,0,0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,0,0,0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,1,N=6 M=1 t1,0,0,0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,1,N=6 M=2 t1,0,0,0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,1,N=6 M=3 t1,0,0,0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,4,1,N=6 M=4 t1,0,0,0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,5,1,N=6 M=5 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,2,1,1,N=2 M=1 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,3,1,1,N=3 M=1 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,3,2,1,N=3 M=2 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,4,1,1,N=4 M=1 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,4,2,1,N=4 M=2 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,4,3,1,N=4 M=3 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,5,1,1,N=5 M=1 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,5,2,1,N=5 M=2 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,5,3,1,N=5 M=3 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,5,4,1,N=5 M=4 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,6,1,1,N=6 M=1 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,6,2,1,N=6 M=2 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,6,3,1,N=6 M=3 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,6,4,1,N=6 M=4 t1,0,0,0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,6,5,1,N=6 M=5 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,2,1,1,N=2 M=1 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,3,1,1,N=3 M=1 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,3,2,1,N=3 M=2 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,4,1,1,N=4 M=1 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,4,2,1,N=4 M=2 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,4,3,1,N=4 M=3 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,1,1,N=5 M=1 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,2,1,N=5 M=2 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,3,1,N=5 M=3 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,4,1,N=5 M=4 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,1,1,N=6 M=1 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,2,1,N=6 M=2 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,3,1,N=6 M=3 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,4,1,N=6 M=4 t1,0,0,0,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,5,1,N=6 M=5 t1,0,0,0,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,2,1,1,N=2 M=1 t1,0,0,0,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,3,1,1,N=3 M=1 t1,0,0,0,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,3,2,1,N=3 M=2 t1,0,1,1,123789.0,0.0,2.0,5.0,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,4,1,1,N=4 M=1 t1,0,0,0,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,4,2,1,N=4 M=2 t1,0,0,0,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,4,3,1,N=4 M=3 t1,0,0,0,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,5,1,1,N=5 M=1 t1,0,0,0,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,5,2,1,N=5 M=2 t1,0,0,0,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,5,3,1,N=5 M=3 t1,0,0,0,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,5,4,1,N=5 M=4 t1,0,0,0,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,6,1,1,N=6 M=1 t1,0,0,0,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,6,2,1,N=6 M=2 t1,0,0,0,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,6,3,1,N=6 M=3 t1,0,0,0,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,6,4,1,N=6 M=4 t1,0,0,0,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,6,5,1,N=6 M=5 t1,0,0,0,,,,,,
