d,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,msg_sent,msg_delivered,delivery_rate,rtt_median_ms,rtt_p90_ms,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,discovered,connected,session,usable,drop
3.0,,c1 d=3 soak,1785267833801,1785267929018,110,64.9,0.693,100,100,1.0,90,127,-68.3,4.7,-62.3,6.1,30,4,2,1,4
3.0,,c2 d=3 soak,1785267929018,1785268024229,94,54.2,0.63,100,100,1.0,80,142,-67.2,5.2,-63.5,5.7,28,4,2,1,3
3.0,,c3 d=3 soak,1785268024229,1785268119366,118,70.0,0.683,100,100,1.0,92,148,-66.8,5.9,-65.1,4.2,30,4,2,1,4
3.0,,c4 d=3 soak,1785268119366,1785268214563,115,67.4,0.672,100,100,1.0,83,154,-67.2,5.7,-64.8,5.6,28,4,2,1,4
3.0,,c5 d=3 soak,1785268214563,1785268364389,231,85.3,0.928,100,100,1.0,100,161,-65.6,6.1,-65.6,4.4,55,4,2,1,0
