messageId,sender,sentAt,payloadSize,deliveredAt,latencyMs
389548a8-d7c2-4d98-944c-1be3350d1c2a,381a8308b2c2a4f87c7d371a422b24ce5e437b7981d2e1c3b8c2bae00ea8ab03,1784751688845,3.0,1784751689076.0,231.0
4df4c580-fb0d-4a68-afb8-bade713245f8,381a8308b2c2a4f87c7d371a422b24ce5e437b7981d2e1c3b8c2bae00ea8ab03,1784751689858,3.0,1784751689917.0,59.0
4545965a-57c8-4c08-b475-255893bafcc8,381a8308b2c2a4f87c7d371a422b24ce5e437b7981d2e1c3b8c2bae00ea8ab03,1784751690623,3.0,1784751690779.0,156.0
47dc4db5-95fb-4528-82a8-f1e1a27f33d6,208480caa2eda302ad9d35ddf0915d8d83a558c90275e272814b5eda921ce39d,1784751675893,3.0,,
a6f4a588-265d-4d8c-8eb7-5cd60be29ba1,208480caa2eda302ad9d35ddf0915d8d83a558c90275e272814b5eda921ce39d,1784751677219,3.0,1784751677296.0,77.0
d2419304-7266-496d-a820-e63a570c1a82,208480caa2eda302ad9d35ddf0915d8d83a558c90275e272814b5eda921ce39d,1784751678315,3.0,,
