d,payloadB,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,msg_sent,msg_delivered,delivery_rate,rtt_median_ms,rtt_p90_ms,applat_median_ms,active_s,msg_per_s,goodput_Bps,airB_per_msg,air_overhead,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,discovered,connected,session,usable,drop
3.0,132,,c1 d=3 soak,1785275803751,1785275899009,125,73.1,0.672,100,100,1.0,81,133,,55.1,1.82,239.8,376.0,2.85,-58.8,2.1,-56.6,1.3,30,4,2,1,3
3.0,132,,c2 d=3 soak,1785275899009,1785275994218,121,70.6,0.651,100,100,1.0,105,156,,54.2,1.85,243.7,431.9,3.27,-60.7,4.0,-63.2,6.6,28,4,2,1,3
3.0,132,,c3 d=3 soak,1785275994218,1785276089371,120,70.0,0.662,100,100,1.0,121,181,,55.1,1.82,239.7,430.5,3.26,-67.3,8.3,-67.0,8.6,29,4,2,1,3
3.0,132,,c4 d=3 soak,1785276089371,1785276184554,120,69.3,0.693,100,100,1.0,94,147,,54.1,1.85,244.1,429.1,3.25,-61.4,6.1,-63.6,8.0,28,4,2,1,3
3.0,132,,c5 d=3 soak,1785276184554,1785276244555,116,108.0,1.017,100,100,1.0,100,159,,55.1,1.82,239.6,429.1,3.25,-61.5,3.4,-60.9,1.8,27,4,2,1,0
