messageId,sender,sentAt,payloadSize,deliveredAt,latencyMs,appLatencyMs
45b69b33-03bd-52f5-aefe-a0cd6b23fd87,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275826284,132.0,1785275826357,73,
22fe696e-450e-557f-bd93-5de08a4c2526,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275827266,132.0,1785275827371,105,
c1716e16-727d-5617-bb2e-761e18e54471,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275827269,132.0,1785275827373,104,
86ea8a41-be9c-5dc1-abc9-093f7fdd420d,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275828266,132.0,1785275828336,70,
1fc6812b-1757-594e-b8ca-27a1f4f58fc3,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275828270,132.0,1785275828338,68,
f0eee817-68f7-56d1-8ca1-dbd24ec6a3ce,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275829265,132.0,1785275829325,60,
1aca74f6-2246-5815-8fe7-e0287c07d07c,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275830269,132.0,1785275830384,115,
e56ab65b-c29e-59f5-85fc-ddc0d6094df9,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275830273,132.0,1785275830388,115,
01ac2bf6-ad98-525f-8fa2-318b2a409ca3,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275831263,132.0,1785275831348,85,
16039bda-72f5-5f7b-b78f-0f9b8342efae,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275831265,132.0,1785275831351,86,
5f5e1bfa-942e-5619-80c8-6665303d1097,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275832265,132.0,1785275832341,76,
849b8dc3-fb27-5da5-9c5d-9df40ded2d0c,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275832272,132.0,1785275832431,159,
57c9adf2-7d5f-5954-b9a5-ce47df22dc57,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275833267,132.0,1785275833329,62,
7607bb71-9a04-538e-bb90-afc54d59153e,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275834262,132.0,1785275834321,59,
622ecb03-0ca1-5658-96a1-c3eff5ec93e8,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275834264,132.0,1785275834322,58,
07c66066-f28b-54b1-8dfb-aed543d0880e,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275835270,132.0,1785275835356,86,
c60256c2-61a2-571e-aea2-927f75da59e5,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275835276,132.0,1785275835402,126,
6fc80f93-c71d-56da-b644-19b71905e6e7,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275836263,132.0,1785275836343,80,
f4b2292d-cfe1-5853-bccd-f37fe7922a64,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275836266,132.0,1785275836346,80,
5f10ca20-b195-5dfd-8290-d6afe5c97006,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275837262,132.0,1785275837345,83,
ce5a8b4c-61b3-5b02-853c-4764f3e78e1e,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275837265,132.0,1785275837347,82,
f853747d-9021-547c-871c-88c7bd86fe49,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275838262,132.0,1785275838324,62,
208bd7da-1363-52a0-9e22-fa7b5f5797d8,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275839266,132.0,1785275839399,133,
76c15a19-9eba-51f6-93e8-906e0febd5c3,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275839269,132.0,1785275839402,133,
eb50a14d-6ab3-5908-8e42-04127e085e2f,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275840276,132.0,1785275840362,86,
a00feb24-2b16-51c2-bd7c-62d2016dc766,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275840283,132.0,1785275840366,83,
8d4778c3-905d-5ce0-8be8-c775ae6ddec3,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275841264,132.0,1785275841338,74,
442fa046-d31f-53a3-80b9-576f5efd3c70,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275841268,132.0,1785275841342,74,
25c687a5-9adb-5c8c-af23-522447063a93,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275842273,132.0,1785275842329,56,
60b862d5-a771-51e6-97a7-8fc940b1690d,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275842279,132.0,1785275842376,97,
6cd299c8-3b09-5b3a-84a8-91c1599fb57d,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275843267,132.0,1785275843319,52,
ebdfea87-b634-539e-bae9-66846b6193cb,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275844279,132.0,1785275844354,75,
ad992844-6b78-5964-a7e7-fc0f256b8b9c,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275844281,132.0,1785275844357,76,
1d9a7f88-db32-5e54-bce6-a2317d79d623,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275845264,132.0,1785275845344,80,
6f00e9ad-2500-551d-9908-79a86d57884f,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275845267,132.0,1785275845435,168,
7be71309-8a8b-5d31-b2af-a8ef995eb50b,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275846265,132.0,1785275846340,75,
7370ffbb-0400-5b9e-82bf-edb331607ee7,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275846268,132.0,1785275846343,75,
c0b895be-47c5-572f-a4aa-065d63eb98bd,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275847265,132.0,1785275847329,64,
69986ca3-1e1b-56fc-8347-72795cd3a508,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275848265,132.0,1785275848366,101,
567f55ac-4116-5331-96f9-f8829c5a081f,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275848270,132.0,1785275848369,99,
996a2f94-26e1-5044-ae5b-ce3f784ac3ad,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275849280,132.0,1785275849348,68,
c88ae149-5a27-5421-a902-e1e391917b1c,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275849285,132.0,1785275849352,67,
cf3403a0-6532-5aa9-a251-658b1fd4f02b,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275850265,132.0,1785275850339,74,
5772f20a-3f69-55bd-b44e-70ed538d4634,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275850270,132.0,1785275850342,72,
8e7b8336-d42a-5d74-b236-e596f59393b7,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275851263,132.0,1785275851330,67,
4a797800-260a-53f9-bff3-197298b26521,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275851266,132.0,1785275851334,68,
e8bf53f4-2ce9-58cf-bb45-949b7ff89746,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275852262,132.0,1785275852364,102,
64c5dd44-1b0d-51a2-a1af-adec35d661a6,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275853269,132.0,1785275853372,103,
7b243220-e7d3-58d3-b8e8-093d3816a61c,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275853274,132.0,1785275853375,101,
c49aff95-76d0-57c1-a24b-ecdc27f5ecfb,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275854268,132.0,1785275854345,77,
05c451b0-2040-5f9e-adf0-ed059448b228,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275854272,132.0,1785275854350,78,
4e3c6b20-7527-5712-8e2d-032ca9df4a0f,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275855275,132.0,1785275855335,60,
f74d1522-9b8e-55f0-9319-b4eefd2457f1,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275855279,132.0,1785275855338,59,
4fc811d5-45cf-593b-b970-2feab0ac4bfb,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275856272,132.0,1785275856372,100,
423567ae-693b-56fe-99a9-c054f3fb7166,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275856276,132.0,1785275856377,101,
5d94b7be-0cdc-5f5b-acd5-f33a3dc2e391,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275857262,132.0,1785275857359,97,
c6970aca-d3b0-5574-b15b-46ee579b8456,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275858272,132.0,1785275858352,80,
4b823891-03d1-5ede-a880-df87df4483d0,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275858276,132.0,1785275858396,120,
67449948-0776-5c5e-99b1-939e27a70dcc,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275859279,132.0,1785275859340,61,
0268f051-e45b-5907-a8e9-f73390df2355,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275859281,132.0,1785275859345,64,
8ca9e5fd-018f-573b-b45b-ea0d6bcba6c1,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275860263,132.0,1785275860329,66,
dba631fc-9124-53b2-94f0-846cdb1017de,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275860265,132.0,1785275860332,67,
f5cce730-1642-5497-8783-fcd1f74a29a0,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275861263,132.0,1785275861319,56,
a47b0b8c-7946-549a-a75b-4ba7a16a41f0,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275902021,132.0,1785275902094,73,
885a6240-1c61-5369-a444-acd3e0849c51,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275902023,132.0,1785275902179,156,
0ab343b6-251c-5da7-8a3f-92c7e212398d,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275903024,132.0,1785275903078,54,
96b0066a-ceaa-5722-88f4-5ee8c183df06,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275903048,132.0,1785275903131,83,
3337f240-c8ff-5fbd-8f25-b56f720ebc5a,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275904074,132.0,1785275904130,56,
a7b186b1-fb2e-52fe-a5f8-14e699111a71,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275904080,132.0,1785275904158,78,
6f4ea0b6-f1c2-5829-a614-d21fb7ad6ebc,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275905063,132.0,1785275905194,131,
0503ae7a-ff35-592a-bf62-f0a092731058,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275905069,132.0,1785275905197,128,
baa11f3c-d41b-565b-be6c-f4d46019e508,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275906027,132.0,1785275906101,74,
3c92fdbf-9050-502e-b889-a4058fd4dd1f,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275906033,132.0,1785275906157,124,
7275923f-b540-55c2-bf7d-056a3d4bf756,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275907039,132.0,1785275907133,94,
88460bb8-70cf-56d7-8035-9c8eb1c2dbfb,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275908022,132.0,1785275908166,144,
