dev,role,hours,level_from,level_to,mAh_used,mean_mA,capacity_mAh,runtime_h
adbed3e0,static (receives),2.1444530555555557,97,64,833.051,380.37025614489,2700.1693333333333,7.098792005189779
ba2af95f,mover (sends),2.113887777777778,97,68,732.926,348.0820958005249,2700.499188384214,7.758224915802009
