d,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,msg_sent,msg_delivered,delivery_rate,rtt_median_ms,rtt_p90_ms,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,discovered,connected,session,usable,drop
3.0,,c1 d=3 soak,1785265623977,1785265780829,59,21.0,0.344,3,2,0.667,92,122,-64.2,4.9,-65.5,5.7,28,2,1,1,4
3.0,,c1 d=3 soak,1785265780829,1785265876075,116,67.4,0.661,100,99,0.99,77,125,-65.9,6.0,-62.4,3.8,51,4,2,1,4
3.0,,c2 d=3 soak,1785265876075,1785265971273,118,68.7,0.683,100,100,1.0,77,116,-66.8,5.6,-63.0,4.6,48,4,2,1,4
3.0,,c3 d=3 soak,1785265971273,1785266066482,118,68.1,0.641,100,98,0.98,89,129,-68.4,4.4,-63.5,5.9,35,4,2,1,3
3.0,,c4 d=3 soak,1785266066482,1785266161675,109,61.8,0.662,98,98,1.0,92,146,-66.8,5.5,-65.6,3.4,28,4,2,1,4
3.0,,c5 d=3 soak,1785266161675,1785266403839,317,71.6,0.88,98,98,1.0,69,124,-66.4,5.6,-66.1,3.2,73,4,2,1,0
