stage,trials,reached,reach_rate,median_s,p90_s,max_s
discovered,35,35,1.0,3.75,6.39,9.7
gattConnected,35,35,1.0,1.3,3.91,4.1
identified,35,35,1.0,3.75,6.39,9.7
connected,35,35,1.0,3.72,6.31,9.59
session,35,5,0.143,11.18,82.97,123.4
