stage,trials,reached,reach_rate,median_s,p90_s,max_s
discovered,8,8,1.0,2.02,3.09,3.13
connected,8,8,1.0,1.92,5.01,9.57
session,8,8,1.0,3.09,15.84,16.42
usable,8,8,1.0,10.41,21.8,26.97
