stage,trials,reached,reach_rate,median_s,p90_s,max_s
discovered,20,4,0.2,2.95,3.64,3.77
gattConnected,20,18,0.9,6.69,55.31,124.0
identified,20,1,0.05,2.56,2.56,2.56
connected,20,10,0.5,6.75,81.63,124.98
