d,payloadB,lanes,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,msg_sent,msg_delivered,delivery_rate,rtt_median_ms,rtt_p90_ms,applat_median_ms,active_s,msg_per_s,goodput_Bps,airB_per_msg,air_overhead,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,t_discovered_s,t_connected_s,t_session_s,t_usable_s,discovered,connected,session,usable,drop
3.0,132,,,c26 d=3 soak,1785281957613,1785282052852,122,71.2,0.672,100,100,1.0,126,171,155,55.1,1.82,239.6,434.7,3.29,-58.9,4.5,-58.3,4.3,1.28,1.16,1.53,2.66,28,4,2,1,3
3.0,132,,,c27 d=3 soak,1785282052852,1785282148071,126,73.7,0.683,100,100,1.0,116,167,134,55.1,1.82,239.6,434.7,3.29,-58.5,4.3,-55.0,0.7,1.3,1.23,1.46,2.69,29,4,2,1,3
3.0,132,,,c28 d=3 soak,1785282148071,1785282243257,124,73.8,0.693,100,100,1.0,122,162,146,55.1,1.81,239.5,431.9,3.27,-58.0,4.2,-56.4,1.0,1.35,1.21,1.46,2.69,28,4,2,1,3
3.0,132,,,c29 d=3 soak,1785282243257,1785282338496,116,67.4,0.661,100,100,1.0,106,154,134,54.1,1.85,244.0,430.5,3.26,-58.2,4.3,-57.9,5.7,1.78,1.68,1.97,3.19,28,4,2,1,3
3.0,132,,,c30 d=3 soak,1785282338496,1785282433698,122,72.5,0.683,100,100,1.0,128,181,160,42.2,2.37,312.9,429.1,3.25,-58.4,4.0,-55.7,3.0,1.81,1.74,14.92,15.08,29,4,2,1,3
3.0,132,,,c31 d=3 soak,1785282433698,1785282528927,124,71.8,0.662,100,100,1.0,126,175,157,55.1,1.81,239.5,431.9,3.27,-58.1,4.4,-55.9,1.1,1.38,1.31,1.56,2.59,28,4,2,1,3
3.0,132,,,c32 d=3 soak,1785282528927,1785282624097,124,73.1,0.672,100,100,1.0,107,142,146,55.1,1.81,239.5,430.5,3.26,-58.7,4.3,-56.9,2.5,1.73,1.64,1.99,2.62,30,4,2,1,3
3.0,132,,,c33 d=3 soak,1785282624097,1785282719267,120,70.6,0.651,100,100,1.0,128,159,154,54.1,1.85,243.8,430.5,3.26,-59.2,4.4,-57.0,3.9,2.37,2.32,2.56,3.68,28,4,2,1,4
3.0,132,,,c34 d=3 soak,1785282719267,1785282814480,119,69.9,0.683,100,100,1.0,112,166,136,54.1,1.85,243.8,430.5,3.26,-59.4,4.0,-55.2,3.0,2.55,2.41,2.82,3.62,30,4,2,1,3
3.0,132,,,c35 d=3 soak,1785282814480,1785282909681,119,69.3,0.672,100,100,1.0,126,175,148,53.1,1.88,248.6,430.5,3.26,-59.1,4.2,-55.3,3.3,3.68,3.59,3.88,4.66,28,4,2,1,3
3.0,132,,,c36 d=3 soak,1785282909681,1785283004980,122,71.1,0.682,100,100,1.0,126,170,152,54.0,1.85,244.3,433.3,3.28,-58.9,4.4,-56.7,2.9,2.22,2.15,2.42,3.2,31,4,2,1,3
3.0,132,,,c37 d=3 soak,1785283004980,1785283100154,124,72.5,0.683,100,100,1.0,112,185,140,56.1,1.78,235.2,431.9,3.27,-58.9,4.8,-55.7,3.8,1.25,1.19,1.49,2.13,28,4,2,1,3
3.0,132,,,c38 d=3 soak,1785283100154,1785283195355,122,70.6,0.662,100,100,1.0,110,168,134,55.1,1.82,239.7,434.7,3.29,-59.0,4.0,-57.4,3.1,1.64,1.59,1.82,2.62,32,4,2,1,3
3.0,132,,,c39 d=3 soak,1785283195355,1785283290611,123,72.4,0.682,100,100,1.0,103,147,134,55.1,1.81,239.5,434.7,3.29,-58.1,3.9,-57.4,3.3,1.63,1.56,1.91,2.64,28,4,2,1,3
3.0,132,,,c40 d=3 soak,1785283290611,1785283385808,122,71.9,0.672,100,100,1.0,122,162,144,55.0,1.82,239.8,431.9,3.27,-59.0,4.1,-59.4,3.4,1.81,1.73,1.94,2.67,32,4,2,1,3
3.0,132,,,c41 d=3 soak,1785283385808,1785283481045,121,71.2,0.683,100,100,1.0,106,146,127,55.1,1.82,239.6,431.9,3.27,-58.1,4.3,-56.9,4.1,1.48,1.36,1.66,2.6,28,4,2,1,3
3.0,132,,,c42 d=3 soak,1785283481045,1785283576226,115,66.8,0.683,100,100,1.0,124,179,151,54.1,1.85,244.1,431.9,3.27,-57.7,3.6,-58.0,4.2,1.98,1.89,2.13,3.2,31,4,2,1,3
3.0,132,,,c43 d=3 soak,1785283576226,1785283671480,73,40.9,0.609,100,100,1.0,114,161,150,55.1,1.82,239.8,433.3,3.28,-57.1,6.4,-59.8,3.5,1.39,1.31,1.55,2.65,28,4,2,1,4
3.0,132,,,c44 d=3 soak,1785283671480,1785283766646,116,68.7,0.662,100,100,1.0,116,144,135,55.1,1.81,239.5,431.9,3.27,-58.8,4.0,-56.4,2.8,1.68,1.61,1.88,2.61,31,4,2,1,3
3.0,132,,,c45 d=3 soak,1785283766646,1785283861853,122,71.2,0.693,100,100,1.0,125,156,156,54.1,1.85,244.0,433.3,3.28,-58.5,4.1,-56.9,3.5,2.81,2.73,2.97,3.61,28,4,2,1,3
3.0,132,,,c46 d=3 soak,1785283861853,1785283957082,124,72.5,0.704,100,100,1.0,105,145,128,55.1,1.82,239.7,458.5,3.47,-59.3,4.1,-56.4,2.4,1.3,1.26,1.59,2.63,30,4,2,1,3
3.0,132,,,c47 d=3 soak,1785283957082,1785284052282,125,74.4,0.683,100,100,1.0,104,164,140,55.1,1.81,239.6,430.5,3.26,-58.1,5.0,-55.9,0.9,1.28,1.2,1.43,2.09,28,4,2,1,3
3.0,132,,,c48 d=3 soak,1785284052282,1785284147493,122,69.9,0.683,100,100,1.0,100,164,131,54.1,1.85,244.2,431.9,3.27,-58.7,4.1,-58.5,3.9,2.21,2.08,2.52,3.11,29,4,2,1,3
3.0,132,,,c49 d=3 soak,1785284147493,1785284242717,118,68.7,0.662,100,100,1.0,116,174,134,55.1,1.82,239.6,431.9,3.27,-58.7,4.0,-56.2,3.3,1.63,1.5,1.78,2.63,28,4,2,1,3
