d,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,msg_sent,msg_delivered,delivery_rate,rtt_median_ms,rtt_p90_ms,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,discovered,connected,session,usable,drop
3.0,,c1 d=3 soak,1785263727538,1785263874847,261,99.8,0.971,229,229,1.0,69,102,-63.9,4.0,-62.4,2.3,58,0,3,2,0
3.0,,c2 d=3 soak,1785263874847,1785263999855,232,104.2,0.976,200,200,1.0,78,131,-63.6,3.2,-62.5,1.5,48,0,2,1,0
3.0,,c3 d=3 soak,1785263999855,1785264124861,229,103.2,0.968,200,200,1.0,78,131,-63.4,3.4,-62.7,2.2,54,0,2,1,0
3.0,,c4 d=3 soak,1785264124861,1785264249868,234,105.1,0.984,200,200,1.0,77,128,-62.8,3.6,-60.7,2.3,72,0,2,1,0
3.0,,c5 d=3 soak,1785264249868,1785265034316,873,64.1,0.887,200,200,1.0,82,124,-63.5,3.6,-61.4,2.4,295,0,2,1,0
