n,reps,sent,recv,dup,delivery_rate,delivery_min,delivery_max,dup_per_delivered,dup_spread,relays,relays_per_device,relaying_devices,wire_B_per_delivered,hops_median,hops_max,degree_median,devices_seen
3,2,22486,11067,1770,0.5186,0.4107,0.6265,0.1634,0.181,10238,1279.75,3,2004.468,0.0,1.0,1.5,4
4,2,25094,7182,2248,0.285,0.2699,0.3002,0.3028,0.155,15204,1900.5,4,4525.117,0.0,3.0,0.0,4
