d,payloadB,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,msg_sent,msg_delivered,delivery_rate,rtt_median_ms,rtt_p90_ms,applat_median_ms,active_s,msg_per_s,goodput_Bps,airB_per_msg,air_overhead,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,discovered,connected,session,usable,drop
,132,,p=132B t1,1785278252945,1785278317958,108,93.2,0.923,3427,3427,1.0,6583,16722,6592,59.7,57.42,7579.3,375.2,2.84,-59.3,3.3,-57.9,2.5,26,0,0,0,0
,132,,p=132B t2,1785278317958,1785278382984,117,100.6,0.969,2025,2025,1.0,153,224,177,59.6,33.97,4484.2,351.2,2.66,-57.9,2.8,-55.5,1.5,26,0,0,0,0
,264,,p=264B t1,1785278382984,1785278444895,107,95.9,0.937,744,744,1.0,63,119,141,59.5,12.51,3302.8,682.0,2.58,-58.0,3.9,-57.5,2.9,24,0,0,0,0
,264,,p=264B t2,1785278444895,1785278509899,117,99.7,0.954,736,736,1.0,66,120,145,59.5,12.36,3263.6,604.9,2.29,-59.9,3.3,-58.0,3.6,26,0,0,0,0
,1200,,p=1200B t1,1785278509899,1785278574905,118,101.5,1.0,178,178,1.0,73,121,408,59.4,3.0,3598.9,2415.0,2.01,-59.5,2.9,-59.5,2.4,26,0,0,0,0
,1200,,p=1200B t2,1785278574905,1785278634909,113,106.0,1.0,177,177,1.0,68,109,401,59.1,2.99,3592.4,2369.8,1.97,-58.4,1.7,-56.1,1.6,24,0,0,0,0
